,tweet,subtask_a
173,body find boyfriend lonely first,1
174,fuck fucking horny waking keep,1
175,last go sure meltdown learn,0
176,rap interest rates us strict laws get higher gun country mortality bad,0
177,face trust celebrity everyone get smooth skin wanna shit perfect apparently,1
178,obey move sick job whatever democrat left spa fact party factory company throw sea outsource years piece standard crap give lie,1
179,audience know doe go tim campaign mccray done,0
180,would conclude double years previous contract pay move two episode equivalent back terms,0
181,new board government member provincial,0
182,vote perform age grand edition prize,0
183,trump supporter agree aware non need wrong gun well politics republican control,0
184,gracious dignify,0
185,illegal true blocking twitter,0
186,want offer lowest impeach democrat green yet black bring al president understand divisiveness hatred representative unemployment hypocrisy level hard american,1
187,vote everyone show numbers definitely,0
188,probably best sell political administration spy opponent bow profit uranium enemy use,0
189,bite,0
190,cancer wearing awareness also breast team gun penalize unrelated sad completely pink control,0
191,know little end sick isis hint tell soul de behold listen deserve closely one girl clips world body us owe cause,0
192,marijuana opioid addiction pennsylvania state treat become approve first medical,0
193,agree help cant,0
194,fine perfectly proud love beautiful,0
195,pic free going bug,0
196,trump none official case start public buchwald block one naomi twitter judge,0
197,sweetie amaze,0
198,old remake game yakima of up something ass fps port thing final need outdated require fantasy vii hence hold psi,0
199,orange popcorn obama silent play propaganda hack wearing well suddenly admin screaming anyone rest brain pantsuit foul hear guilty expose,0
200,gas case meet bad station manager ass,1
201,reference match scientist engineer pun emphasize gender exclude mad title show story era woman tempt get inequality recent times data men unnecessarily,0
202,error past help kindly need hello getting,0
203,next,0
204,see wanna shit ass cash,1
205,resist stupidity money sleep honouring level amaze,1
206,office long endless hateful comment stay obama presidential administration john cause loser far candidate mccain,1
207,corrupt dishonest schemer liar representative,1
208,glad ever online talk meet chris one crap people nice,0
209,radiant utterly,0
210,taking start hand need systematically may pc theresa ammunition love use,1
211,vote waste senator go another running opportunity jealous great meanwhile mediocre candidate stick,1
212,insect marijuana curated of egg cost found medical,0
213,church screw new really nothing catholic,1
214,think fucking people vela time,1
215,card rule medical marijuana campus person university supreme criminalize court cannot opinion arizona legislature read possession,0
216,artwork,0
217,low man see action illusion,0
218,painkiller productive doctor follow cannabis tip conversation suggest people effective management,0
219,rule marijuana campus supreme court schedule college arizona legality medical,0
220,things change,0
221,brethren could thing two human fruit fly inches learn,0
222,know reason call teenager block thought nut insult better,0
223,click picture,0
224,washington barry aka joe production go senior obama barack pedro netflix,0
225,traitor kill,1
226,fuck month hospital wrist going nearly see really wrong time,1
227,live event big go ticket hit sherry sunday island dare sing take get girl along enter remain cry eyes like,0
228,sensible help ensure heighten always ability buy affect somehow say gun way regulation someone hear people worry control,0
229,wish care,0
230,milk offer beat crib pull getting ass cockroach,1
231,hypocrite bright poor bring definitely,1
232,run crying chuck rest,0
233,good ditto lottery team say player st contend compare option better look,0
234,lay know comment melanie automatically jimmy may scoop twitter type correct,1
235,wish cocker best,1
236,come boy face sense see common hogg childish bald liar america back,1
237,toxic oil always glad relationship thought ship sad right woman respect get happy say never healthy nothing feel hear,0
238,titan remember know together gift pastoral reading language character real awe dust thought st artistry complex provoke bite weaving felt another like american,0
239,living know emo doubt right,0
240,citizen would cheer young hero cheering feeling little gay yet hey crowd realize hello wave fluster,0
241,bringing woman call responsibility want pregnancy legislatively men reproduction everything conservative aversion control unwanted,0
242,make,0
243,seed idea scientist thanks today much connection sharing us eugenie discover clark make fish great dissect learn,0
244,hide group setting knowing always agenda amnesty trust us going election mode surprise similar nasty,0
245,would pooping upon happen also board ago seem thread nothing long deep header chess,1
246,touch worth tell voucher regard value test contact getting would afraid bank point need club card thanks however times tristan information,0
247,would truly fervour distract mob big ever anger add drive see society one revenge driving care dis,0
248,even pretty guy sad,0
249,arsenal go,0
250,org beautiful,0
251,eff ready getting,0
252,bbl tweet nyx california already shit remember,1
253,body official count aboard fighting welcome,0
254,live want fox attention smart ass hire trigger foolish news calling one debate done time arguments much fool pussy people herd,1
255,help cannabis marijuana cream disease baby miracle skin rare medical,0
256,threshold even man yet holy bathroom one approval cross tuesday remark astonish whistling smell shit bad via,1
257,oral love performance attendee satisfy,1
258,people jail go need,0
259,low worse man shit world getting keep tire,1
260,president basic values want trust truth ambassador always loyalty wife say include jim john moral people tell think,0
261,separate bedroom ger right,0
262,classic fucking style,1
263,mon many call league us nil say boycott joining,1
264,text video,0
265,list many think,0
266,toby water go moth luxury must dick hate gypsy vicarious liner story love sea,0
267,wearing linda ike see reply photo semi bust moon bump olin logo expose,0
268,murder mass delusional make measure chip utterly snap gun medicaid life would pro cut keep control school young enact really people,0
269,come chew orgasm like nut,1
270,talk everyone seem beach man hear people retreated,0
271,safe magazine marijuana pet give al medical,0
272,west marijuana issue banking attorney virginia medical,0
273,lead jim appropriately cast carey dumb,0
274,come marijuana campus supreme decision court write medical,0
275,yeah sexual relationship opposite every sex romantic,0
276,hurting feelings twitter,0
277,legalize pipe good basic marijuana bill buddy put ohio smoke sign medical,0
278,inc marijuana revenue quarter company announce large sales medical,0
279,know want marijuana state approving american epilepsy medical,0
280,snap deal fool customer buy anything,0
281,fuck shit fat piece,1
282,marijuana house nothing missouri smokescreen bill medical,0
283,screw gun shot someone control speak,0
284,author per trademark agent forever facebook post say miscommunication cancel impersonator update via request,0
285,clear matter busy priority reflect see life love machine hum everyone embrace flavor happiness private taste eyes remember sense natural,0
286,zionist miss rip also dearly great,0
287,disease marijuana human treat medical,0
288,johnny trina marry,0
289,aware know history movie intrigue book,0
290,come idea parks us love phone charge great spend die stations thru hate time,0
291,fine,1
292,animal lose street want straw bunch baby liberal mind cop environment care gang ban,0
293,resist,0
294,cunt check,1
295,yeah chief thanks flip award emmy flop winning gun iran idiot everything nobel control,1
296,try free living short adult happen want education cuba see government youth gun healthcare amaze sight everything control,0
297,judicial say anyone overreach,0
298,talk faction ago several anything enough consider hell doe gay everything narcissist need take others shame apr years siding community,0
299,low provide tons def firearm cd doe gun show use report literally crime stop proof also stopping violent control citizen acts arm state,0
300,let congress away get anything willing everything sch apparently,0
301,get shot ass like,1
302,fuck,1
303,disgust hey,1
304,murderous corrupt hands history government thing gun centralization world institution prove control,0
305,summer literature positive perusal,0
306,would vote aka la happen obama first look,0
307,dos draft kings whitman lineup,0
308,plant dateline miss many cd oil marijuana growing promise yet curious episode scrutinize demonize beneficial look medical,0
309,criminal pick santa intend else shoot calling gun anything victim shooter murderer people become moment insult,0
310,imagine young min day really feel grateful born special,0
311,guess start national need reveal gun level car defining control,0
312,orgasm really like weird look,0
313,ringing hit like upon sometimes thought true ding brain crystal impression back,0
314,fade month reuters support is of gun massacre florida three poll via control,0
315,day today advisor may schedule handle hard make save important time,0
316,precious cover fact horrible well rest may christian family die tragedy,0
317,doe block mean superstar unblock sue hah aha,1
